Address,Lat,Long,Easting,Northing
OX37LJ,51.750332,-1.214709,454308,206029
HU3,53.741789,-0.363627,508023,428510
SO22 5DG,51.061375,-1.330959,446982,129328
so22 5dg,51.061375,-1.330959,446982,129328
RG30 4EJ,51.449118,-1.01472,468565,172697
SO30 3JB,50.927832,-1.325249,447518,114481
RG1,51.453264,-0.963422,472123,173207
PO30 5TG,50.711101,-1.300887,449458,90396
BH15 2JB,50.721987,-1.973117,401994,91374
SL2 4HL,51.533136,-0.575125,498930,182543
Gu27xx,51.241025,-0.607462,497304,150015
WA3 3EG,53.481708,-2.591755,360827,398495
RG1 5AN,51.451402,-0.958645,472458,173005
PR6,53.687628,-2.574087,362184,421394
SL2 4HL,51.533136,-0.575125,498930,182543
pr7,53.631495,-2.661907,356327,415200
RG26,51.320364,-1.155296,458961,158256
SW15 5PN,51.455541,-0.241744,522260,174417
LE15WW,52.627817,-1.134803,458660,303691
Gu2 7xx,51.241025,-0.607462,497304,150015
NE33XT,55.006322,-1.634758,423459,568034
SE5 9RS,51.468357,-0.092306,532605,176102
SL5 8AA,51.410166,-0.687338,491392,168722
LS12 3QE,53.800891,-1.611904,425659,433913
HU3 2JZ,53.744412,-0.358271,508369,428810
DT12JY,50.713461,-2.447125,368528,90521
CV22DX,52.421424,-1.443503,437942,280527
ne311at,54.984117,-1.509466,431490,565612
NE7 7DN,55.002776,-1.593393,426107,567654
CM1 7ET,51.774585,0.465424,570191,211310
BT9 7JB,54.567409,-5.976977,143027,526406
IG38YB,51.580545,0.112107,546442,188967
RG24 9NA,51.280615,-1.109875,462180,153873
SO40 2RZ,50.930656,-1.528807,433210,114684
rg249na,51.280615,-1.109875,462180,153873
ch2 1ul,53.211767,-2.899024,340058,368677
OX4 4XN,51.717459,-1.229536,453323,202362
BT9 7AD,54.586175,-5.943241,145324,528369
BL4 0JR,53.553957,-2.429893,371617,406456
pl6 8dh,50.41672,-4.113684,249930,59563
rg24 9na,51.280615,-1.109875,462180,153873
L97LJ,53.466495,-2.930927,338297,397042
SO22 5DG,51.061375,-1.330959,446982,129328
NR4 7UY,52.618086,1.221067,618143,307129
SR4 7TP,54.902385,-1.410139,437923,556566
rg24 9na,51.280615,-1.109875,462180,153873
SL2 4HL,51.533136,-0.575125,498930,182543
gl1 3nn,51.86639,-2.231042,384188,218671
BH15 2JB; BH7 7DW,50.747482,-1.820505,412760,94224
hx3 0pw,53.705306,-1.85728,409519,423218
IG3 8YB,51.580545,0.112107,546442,188967
ne15 8ny,54.969678,-1.712709,418490,563933
NP20 2UB,51.579798,-2.998152,330932,187242
TQ2 7AA,50.482325,-3.55379,289858,65876
WC1N 3JH,51.52221,-0.119924,530533,182041
w6 7bl,51.4953,-0.218144,523792,178878
W12 0HS,51.516523,-0.236658,522450,181207
Po6 3ly,50.849589,-1.071324,465473,105974
CW10 9BE,53.190458,-2.446302,370277,366023
bh15,50.730003,-1.985543,401117,92265
